index,Category: All categories,entity
2013-09,31.0,vodafone
2013-10,22.0,vodafone
2013-11,21.0,vodafone
2013-12,22.0,vodafone
2014-01,22.0,vodafone
2014-02,25.0,vodafone
2014-03,24.0,vodafone
2014-04,23.0,vodafone
2014-05,25.0,vodafone
2014-06,34.0,vodafone
2014-07,36.0,vodafone
2014-08,32.0,vodafone
2014-09,34.0,vodafone
2014-10,30.0,vodafone
2014-11,30.0,vodafone
2014-12,33.0,vodafone
2015-01,35.0,vodafone
2015-02,35.0,vodafone
2015-03,39.0,vodafone
2015-04,36.0,vodafone
2015-05,35.0,vodafone
2015-06,36.0,vodafone
2015-07,24.0,vodafone
2015-08,25.0,vodafone
2015-09,23.0,vodafone
2015-10,23.0,vodafone
2015-11,29.0,vodafone
2015-12,29.0,vodafone
2016-01,15.0,vodafone
2016-02,14.0,vodafone
2016-03,15.0,vodafone
2016-04,15.0,vodafone
2016-05,16.0,vodafone
2016-06,16.0,vodafone
2016-07,16.0,vodafone
2016-08,17.0,vodafone
2016-09,14.0,vodafone
2016-10,16.0,vodafone
2016-11,15.0,vodafone
2016-12,15.0,vodafone
2017-01,16.0,vodafone
2017-02,15.0,vodafone
2017-03,16.0,vodafone
2017-04,15.0,vodafone
2017-05,15.0,vodafone
2017-06,15.0,vodafone
2017-07,15.0,vodafone
2017-08,15.0,vodafone
2017-09,16.0,vodafone
2017-10,14.0,vodafone
2017-11,12.0,vodafone
2017-12,10.0,vodafone
2018-01,9.0,vodafone
2018-02,10.0,vodafone
2018-03,9.0,vodafone
2018-04,9.0,vodafone
2018-05,9.0,vodafone
2018-06,11.0,vodafone
2018-07,10.0,vodafone
2018-08,10.0,vodafone
2018-09,10.0,vodafone
2018-10,9.0,vodafone
2018-11,8.0,vodafone
2018-12,8.0,vodafone
2019-01,8.0,vodafone
2019-02,9.0,vodafone
2019-03,8.0,vodafone
2019-04,8.0,vodafone
2004-02,95.0,adobe
2004-03,84.0,adobe
2004-04,84.0,adobe
2004-05,81.0,adobe
2004-06,88.0,adobe
2004-07,88.0,adobe
2004-08,92.0,adobe
2004-09,91.0,adobe
2004-10,88.0,adobe
2004-11,82.0,adobe
2004-12,85.0,adobe
2005-01,96.0,adobe
2005-02,92.0,adobe
2005-03,87.0,adobe
2005-04,88.0,adobe
2005-05,84.0,adobe
2005-06,86.0,adobe
2005-07,83.0,adobe
2005-08,88.0,adobe
2005-09,83.0,adobe
2005-10,81.0,adobe
2005-11,77.0,adobe
2005-12,77.0,adobe
2006-01,85.0,adobe
2006-02,84.0,adobe
2006-03,79.0,adobe
2006-04,74.0,adobe
2006-05,71.0,adobe
2006-06,77.0,adobe
2006-07,80.0,adobe
2006-08,82.0,adobe
2006-09,83.0,adobe
2006-10,79.0,adobe
2006-11,76.0,adobe
2006-12,80.0,adobe
2007-01,93.0,adobe
2007-02,93.0,adobe
2007-03,89.0,adobe
2007-04,87.0,adobe
2007-05,82.0,adobe
2007-06,91.0,adobe
2007-07,90.0,adobe
2007-08,91.0,adobe
2007-09,89.0,adobe
2007-10,85.0,adobe
2007-11,85.0,adobe
2007-12,85.0,adobe
2008-01,91.0,adobe
2008-02,90.0,adobe
2008-03,90.0,adobe
2008-04,88.0,adobe
2008-05,85.0,adobe
2008-06,91.0,adobe
2008-07,91.0,adobe
2008-08,93.0,adobe
2008-09,93.0,adobe
2008-10,93.0,adobe
2008-11,96.0,adobe
2008-12,93.0,adobe
2009-01,98.0,adobe
2009-02,98.0,adobe
2009-03,97.0,adobe
2009-04,95.0,adobe
2009-05,93.0,adobe
2009-06,91.0,adobe
2009-07,92.0,adobe
2009-08,97.0,adobe
2009-09,97.0,adobe
2009-10,95.0,adobe
2009-11,94.0,adobe
2009-12,94.0,adobe
2010-01,98.0,adobe
2010-02,98.0,adobe
2010-03,97.0,adobe
2010-04,100.0,adobe
2010-05,91.0,adobe
2010-06,96.0,adobe
2010-07,84.0,adobe
2010-08,89.0,adobe
2010-09,92.0,adobe
2010-10,86.0,adobe
2010-11,84.0,adobe
2010-12,81.0,adobe
2011-01,82.0,adobe
2011-02,84.0,adobe
2011-03,85.0,adobe
2011-04,79.0,adobe
2011-05,79.0,adobe
2011-06,80.0,adobe
2011-07,73.0,adobe
2011-08,79.0,adobe
2011-09,75.0,adobe
2011-10,75.0,adobe
2011-11,73.0,adobe
2011-12,77.0,adobe
2012-01,77.0,adobe
2012-02,72.0,adobe
2012-03,72.0,adobe
2012-04,69.0,adobe
2012-05,67.0,adobe
2012-06,70.0,adobe
2012-07,70.0,adobe
2012-08,72.0,adobe
2012-09,70.0,adobe
2012-10,64.0,adobe
2012-11,63.0,adobe
2012-12,63.0,adobe
2013-01,71.0,adobe
2013-02,72.0,adobe
2013-03,69.0,adobe
2013-04,65.0,adobe
2013-05,64.0,adobe
2013-06,60.0,adobe
2013-07,59.0,adobe
2013-08,60.0,adobe
2013-09,60.0,adobe
2013-10,62.0,adobe
2013-11,59.0,adobe
2013-12,56.0,adobe
2014-01,63.0,adobe
2014-02,61.0,adobe
2014-03,54.0,adobe
2014-04,57.0,adobe
2014-05,53.0,adobe
2014-06,53.0,adobe
2014-07,53.0,adobe
2014-08,56.0,adobe
2014-09,57.0,adobe
2014-10,59.0,adobe
2014-11,51.0,adobe
2014-12,55.0,adobe
2015-01,55.0,adobe
2015-02,51.0,adobe
2015-03,51.0,adobe
2015-04,51.0,adobe
2015-05,47.0,adobe
2015-06,49.0,adobe
2015-07,60.0,adobe
2015-08,51.0,adobe
2015-09,48.0,adobe
2015-10,47.0,adobe
2015-11,44.0,adobe
2015-12,43.0,adobe
2016-01,36.0,adobe
2016-02,38.0,adobe
2016-03,37.0,adobe
2016-04,37.0,adobe
2016-05,35.0,adobe
2016-06,36.0,adobe
2016-07,32.0,adobe
2016-08,35.0,adobe
2016-09,36.0,adobe
2016-10,35.0,adobe
2016-11,36.0,adobe
2016-12,33.0,adobe
2017-01,37.0,adobe
2017-02,38.0,adobe
2017-03,41.0,adobe
2017-04,39.0,adobe
2017-05,37.0,adobe
2017-06,35.0,adobe
2017-07,32.0,adobe
2017-08,38.0,adobe
2017-09,37.0,adobe
2017-10,38.0,adobe
2017-11,35.0,adobe
2017-12,33.0,adobe
2018-01,37.0,adobe
2018-02,37.0,adobe
